model,strain,eval,Accuracy,Precision,Recall,F1,AUC,MCC,branch,family,model_base
CNN2D_SNP,C5,CV_group,0.745,0.313,0.508,0.376,0.669,0.218,SNP,deep,CNN2D
CNN2D_SNP,C5,independent_test,0.693,0.337,0.727,0.461,0.756,0.325,SNP,deep,CNN2D
CNN2D_SNP,P9a,CV_random,0.605,0.669,0.446,0.518,0.689,0.229,SNP,deep,CNN2D
CNN2D_SNP,P9a,CV_group,0.603,0.524,0.409,0.441,0.563,0.071,SNP,deep,CNN2D
CNN2D_SNP,P9a,independent_test,0.66,0.725,0.502,0.586,0.707,0.334,SNP,deep,CNN2D
LogReg,C4,CV_random,0.645,0.63,0.625,0.625,0.71,0.29,embedding,classical,LogReg
LogReg,C4,CV_group,0.565,0.543,0.561,0.536,0.594,0.113,embedding,classical,LogReg
LogReg,C4,independent_test,0.557,0.543,0.633,0.585,0.661,0.118,embedding,classical,LogReg
LogReg,C5,CV_random,0.761,0.343,0.356,0.335,0.743,0.202,embedding,classical,LogReg
LogReg,C5,CV_group,0.734,0.239,0.337,0.267,0.595,0.089,embedding,classical,LogReg
LogReg,C5,independent_test,0.754,0.357,0.455,0.4,0.744,0.251,embedding,classical,LogReg
LogReg,P9a,CV_random,0.673,0.681,0.65,0.664,0.697,0.348,embedding,classical,LogReg
LogReg,P9a,CV_group,0.679,0.684,0.678,0.669,0.659,0.271,embedding,classical,LogReg
LogReg,P9a,independent_test,0.738,0.75,0.7,0.724,0.77,0.476,embedding,classical,LogReg
LogReg_SNP,C4,CV_random,0.703,0.688,0.701,0.694,0.759,0.405,SNP,classical,LogReg
LogReg_SNP,C4,CV_group,0.609,0.581,0.798,0.64,0.594,0.247,SNP,classical,LogReg
LogReg_SNP,C4,independent_test,0.705,0.688,0.733,0.71,0.754,0.411,SNP,classical,LogReg
LogReg_SNP,C5,CV_random,0.789,0.431,0.4,0.407,0.777,0.286,SNP,classical,LogReg
LogReg_SNP,C5,CV_group,0.771,0.215,0.148,0.157,0.6,0.069,SNP,classical,LogReg
LogReg_SNP,C5,independent_test,0.77,0.4,0.545,0.462,0.871,0.326,SNP,classical,LogReg
LogReg_SNP,P9a,CV_random,0.632,0.634,0.625,0.625,0.722,0.265,SNP,classical,LogReg
LogReg_SNP,P9a,CV_group,0.662,0.556,0.702,0.606,0.678,0.202,SNP,classical,LogReg
